concept_id,split,label,event_class,text,rationale,owner_decision
unmatched-positive-011,development,relevant,standalone,A friend says the pair kissed after everyone else left.,Clear relationship or gossip meaning expressed without a lexical-v1 term.,
unmatched-positive-013,development,relevant,standalone,Their romance began during a delayed train journey.,Clear relationship or gossip meaning expressed without a lexical-v1 term.,
unmatched-positive-015,development,relevant,standalone,He is hiding texts from the person he lives with.,Clear relationship or gossip meaning expressed without a lexical-v1 term.,
near-miss-001,development,not_relevant,standalone,The relationship between temperature and pressure is nearly linear.,Contains a lexical-v1 term in a non-interpersonal sense.,
near-miss-003,development,not_relevant,standalone,Customer relationship software is included in the quarterly budget.,Contains a lexical-v1 term in a non-interpersonal sense.,
near-miss-005,development,not_relevant,standalone,Radiometric dating can estimate the age of certain rocks.,Contains a lexical-v1 term in a non-interpersonal sense.,
near-miss-007,development,not_relevant,standalone,The drama course meets in the theatre every Wednesday.,Contains a lexical-v1 term in a non-interpersonal sense.,
near-miss-009,development,not_relevant,standalone,The radio drama uses footsteps to create a sense of distance.,Contains a lexical-v1 term in a non-interpersonal sense.,
near-miss-011,development,not_relevant,standalone,Please crush the empty cans before putting them in recycling.,Contains a lexical-v1 term in a non-interpersonal sense.,
near-miss-013,development,not_relevant,standalone,The player was caught cheating during the online chess match.,Contains a lexical-v1 term in a non-interpersonal sense.,
near-miss-015,development,not_relevant,standalone,The committee called the procurement failure an affair of state.,Contains a lexical-v1 term in a non-interpersonal sense.,
near-miss-017,development,not_relevant,standalone,The distributed gossip algorithm converged after six rounds.,Contains a lexical-v1 term in a non-interpersonal sense.,
near-miss-019,development,not_relevant,standalone,The asteroid breakup produced several smaller fragments.,Contains a lexical-v1 term in a non-interpersonal sense.,
plain-negative-001,development,not_relevant,standalone,The library will close early while the heating system is repaired.,Clear non-relationship and non-gossip subject.,
plain-negative-003,development,not_relevant,standalone,I baked bread with rosemary and left it to cool by the window.,Clear non-relationship and non-gossip subject.,
plain-negative-005,development,not_relevant,standalone,Our garden produced more tomatoes than expected this year.,Clear non-relationship and non-gossip subject.,
plain-negative-007,development,not_relevant,standalone,Clouds covered the hills before the afternoon rain arrived.,Clear non-relationship and non-gossip subject.,
plain-negative-009,development,not_relevant,standalone,The software update reduced startup time on my old laptop.,Clear non-relationship and non-gossip subject.,
plain-negative-011,development,not_relevant,standalone,Café tables were moved indoors when the wind became stronger.,Clear non-relationship and non-gossip subject.,
plain-negative-013,development,not_relevant,standalone,"My bicycle tyre was flat, so I took the train instead.",Clear non-relationship and non-gossip subject.,
plain-negative-015,development,not_relevant,standalone,A small repair stopped the tap from dripping overnight.,Clear non-relationship and non-gossip subject.,
structural-exclusion-001,development,not_relevant,reply,My boyfriend replied and asked me to call him tonight.,"Addressed, conversational, quoted, reposted, direct, or group event; not a standalone shout.",
structural-exclusion-003,development,not_relevant,quote,This quoted breakup story should not become a new shout.,"Addressed, conversational, quoted, reposted, direct, or group event; not a standalone shout.",
structural-exclusion-005,development,not_relevant,direct,This direct note discusses a private affair with its recipient.,"Addressed, conversational, quoted, reposted, direct, or group event; not a standalone shout.",
structural-exclusion-007,development,not_relevant,reply,I answered their dating question inside the existing thread.,"Addressed, conversational, quoted, reposted, direct, or group event; not a standalone shout.",
spam-001,development,not_relevant,standalone,dating dating dating dating dating dating dating dating dating dating,Mechanically obvious spam/noise containing a lexical-v1 term.,
spam-003,development,not_relevant,standalone,relationship!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Mechanically obvious spam/noise containing a lexical-v1 term.,
duplicate-001,development,not_relevant,duplicate,I am dating someone new and feel hopeful about it.,Repeated protocol identity must be suppressed before a second match decision.,
duplicate-003,development,not_relevant,duplicate,Her girlfriend planned a thoughtful surprise for the weekend.,Repeated protocol identity must be suppressed before a second match decision.,
ambiguous-001,development,ambiguous,standalone,Our relationship changed after the move.,Insufficient context for a reliable clear label; excluded from precision/recall.,
ambiguous-003,development,ambiguous,standalone,"I heard a rumour, but there is no context or confirmation.",Insufficient context for a reliable clear label; excluded from precision/recall.,
